Page,Origin,Raw_X,Raw_Y,X,Y,PART,NAME,MM_X,MM_Y,Data_Type,Align
1,Bottom-Left,452.85,129.76,452.85,712.16,Heading,BillID,157.44,250.31,Text,Left
1,Bottom-Left,452.85,158.60,452.85,683.32,Heading,OrderDate,157.44,239.91,Date,Left
1,Bottom-Left,77.33,197.26,77.33,644.66,Heading,ContactName1,27.28,227.42,Text,Left
1,Bottom-Left,77.33,225.44,77.33,616.48,Heading,NameInThai,27.28,216.21,Text,Left
1,Bottom-Left,369.62,249.36,369.62,592.56,Heading,CreditDay,129.01,207.88,Text,Left
1,Bottom-Left,554.96,638.06,554.96,203.86,Heading,ValueAmount,195.78,71.92,Numeric 2 digits,Right
1,Bottom-Left,554.96,665.06,554.96,176.86,Heading,AddVATAmount,195.78,62.39,Numeric 2 digits,Right
1,Bottom-Left,554.96,690.75,554.96,151.17,Heading,NetNet,195.78,53.33,Numeric 2 digits,Right
1,Bottom-Left,69.99,322.70,69.99,519.22,Body,Product_Name,24.69,183.17,Text,Left
1,Bottom-Left,325.58,322.70,325.58,519.22,Body,Unit_Quan,114.86,183.17,Numeric,Center
1,Bottom-Left,376.18,322.70,376.18,519.22,Body,Unit_Name,132.71,183.17,Text,Center
1,Bottom-Left,460.06,322.70,460.06,519.22,Body,Unit_Price,162.30,183.17,Numeric 2 digits,Right
1,Bottom-Left,554.96,322.70,554.96,519.22,Body,Total,195.78,183.17,Numeric 2 digits,Right
1,Bottom-Left,0.00,26.00,0.00,815.92,Linespace,LineSpacing,0.00,287.49,Text,Left
